panel,series,gamma,k,mean,ci95_lo,ci95_hi,n_trials,n_concepts_bootstrap,plotted
a,concept_p_yes,0.0,,0.012408,0.012408,0.012408,1000,50,yes
a,concept_p_yes,0.05,,0.063428,0.058667,0.068023,1000,50,yes
a,concept_p_yes,0.1,,0.181977,0.161817,0.199841,1000,50,yes
a,concept_p_yes,0.2,,0.690422,0.646150,0.726938,1000,50,yes
a,concept_p_yes,0.4,,0.832966,0.806132,0.857479,1000,50,yes
a,concept_p_yes,0.6,,0.556301,0.514921,0.595387,1000,50,yes
a,concept_p_yes,0.8,,0.591466,0.552239,0.628818,1000,50,yes
a,concept_det,0.0,,0.000000,0.000000,0.000000,1000,50,yes
a,concept_det,0.05,,0.000000,0.000000,0.000000,1000,50,yes
a,concept_det,0.1,,0.000000,0.000000,0.000000,1000,50,yes
a,concept_det,0.2,,0.000000,0.000000,0.000000,1000,50,yes
a,concept_det,0.4,,0.214000,0.130975,0.294025,1000,50,yes
a,concept_det,0.6,,0.048000,0.018000,0.086000,1000,50,yes
a,concept_det,0.8,,0.023000,0.008000,0.043025,1000,50,yes
a,random_p_yes,0.05,,0.017176,0.014563,0.019667,1000,50,yes
a,random_p_yes,0.1,,0.030120,0.024178,0.035923,1000,50,yes
a,random_p_yes,0.2,,0.086672,0.076259,0.097908,1000,50,yes
a,random_p_yes,0.4,,0.380775,0.356662,0.405203,1000,50,yes
a,random_p_yes,0.6,,0.768333,0.747494,0.788111,1000,50,yes
a,random_p_yes,0.8,,0.796955,0.779092,0.813613,1000,50,yes
a,random_det,0.05,,0.000000,0.000000,0.000000,1000,50,yes
a,random_det,0.1,,0.000000,0.000000,0.000000,1000,50,yes
a,random_det,0.2,,0.000000,0.000000,0.000000,1000,50,yes
a,random_det,0.4,,0.000000,0.000000,0.000000,1000,50,yes
a,random_det,0.6,,0.000000,0.000000,0.000000,1000,50,yes
a,random_det,0.8,,0.000000,0.000000,0.000000,1000,50,yes
a,concept_landed,0.0,,0.000000,0.000000,0.000000,1000,50,yes
a,concept_landed,0.05,,0.000000,0.000000,0.000000,1000,50,yes
a,concept_landed,0.1,,0.000000,0.000000,0.000000,1000,50,yes
a,concept_landed,0.2,,0.013000,0.000000,0.039000,1000,50,yes
a,concept_landed,0.4,,0.307000,0.195975,0.426100,1000,50,yes
a,concept_landed,0.6,,0.785000,0.669000,0.881000,1000,50,yes
a,concept_landed,0.8,,0.960000,0.900000,1.000000,1000,50,yes
a,random_landed,0.05,,0.000000,0.000000,0.000000,1000,50,no
a,random_landed,0.1,,0.000000,0.000000,0.000000,1000,50,no
a,random_landed,0.2,,0.000000,0.000000,0.000000,1000,50,no
a,random_landed,0.4,,0.000000,0.000000,0.000000,1000,50,no
a,random_landed,0.6,,0.000000,0.000000,0.000000,1000,50,no
a,random_landed,0.8,,0.000000,0.000000,0.000000,1000,50,no
a,clean_p_yes_reference_line,0.0,,0.012408,,,1000,50,yes
b,concept_named_k,0.2,1,0.000000,0.000000,0.000000,1000,50,yes
b,concept_named_k,0.2,3,0.000000,0.000000,0.000000,1000,50,yes
b,concept_named_k,0.2,5,0.000000,0.000000,0.000000,1000,50,yes
b,concept_named_k,0.2,10,0.006000,0.001000,0.011000,1000,50,yes
b,concept_named_k,0.2,25,0.041000,0.018000,0.066000,1000,50,yes
b,concept_named_k,0.4,1,0.056000,0.017000,0.107025,1000,50,yes
b,concept_named_k,0.4,3,0.131000,0.067000,0.204025,1000,50,yes
b,concept_named_k,0.4,5,0.216000,0.132975,0.297000,1000,50,yes
b,concept_named_k,0.4,10,0.387000,0.272000,0.491025,1000,50,yes
b,concept_named_k,0.4,25,0.600000,0.484975,0.695000,1000,50,yes
b,concept_named_k,0.6,1,0.010000,0.002000,0.023000,1000,50,yes
b,concept_named_k,0.6,3,0.049000,0.020000,0.084000,1000,50,yes
b,concept_named_k,0.6,5,0.091000,0.043000,0.149000,1000,50,yes
b,concept_named_k,0.6,10,0.268000,0.184975,0.352025,1000,50,yes
b,concept_named_k,0.6,25,0.506000,0.389000,0.606000,1000,50,yes
b,concept_named_k,0.8,1,0.013000,0.000000,0.039000,1000,50,yes
b,concept_named_k,0.8,3,0.025000,0.002975,0.064000,1000,50,yes
b,concept_named_k,0.8,5,0.041000,0.010000,0.088000,1000,50,yes
b,concept_named_k,0.8,10,0.124000,0.060000,0.201000,1000,50,yes
b,concept_named_k,0.8,25,0.321000,0.218950,0.431000,1000,50,yes
b,random_named_k,0.8,1,0.000000,0.000000,0.000000,1000,50,yes
b,random_named_k,0.8,3,0.000000,0.000000,0.000000,1000,50,yes
b,random_named_k,0.8,5,0.000000,0.000000,0.000000,1000,50,yes
b,random_named_k,0.8,10,0.000000,0.000000,0.000000,1000,50,yes
b,random_named_k,0.8,25,0.002000,0.000000,0.005000,1000,50,yes
