concept,category,gamma,n_passages,n_landed,n_named,frac_landed,frac_named,plotted_x_jittered,plotted_y_jittered,labeled
Brazil,countries,0.4,20,20,0,1.0000,0.0000,0.99006,-0.00632,yes
Canada,countries,0.4,20,20,1,1.0000,0.0500,1.00723,0.05197,yes
Chile,countries,0.4,20,0,0,0.0000,0.0000,-0.00974,-0.00160,no
Egypt,countries,0.4,20,20,8,1.0000,0.4000,0.99950,0.39183,no
France,countries,0.4,20,20,6,1.0000,0.3000,1.00563,0.29073,yes
Germany,countries,0.4,20,20,4,1.0000,0.2000,0.99739,0.20040,no
Japan,countries,0.4,20,20,9,1.0000,0.4500,0.99834,0.45208,no
Nepal,countries,0.4,20,8,0,0.4000,0.0000,0.40571,0.01095,no
Norway,countries,0.4,20,20,1,1.0000,0.0500,0.99482,0.05357,no
Poland,countries,0.4,20,20,1,1.0000,0.0500,1.00471,0.04503,no
anger,emotions,0.4,20,0,11,0.0000,0.5500,-0.01196,0.56136,no
beige,colors,0.4,20,0,0,0.0000,0.0000,-0.00484,-0.00446,no
boredom,emotions,0.4,20,0,20,0.0000,1.0000,0.00940,1.00204,yes
bread,foods,0.4,20,0,15,0.0000,0.7500,-0.00069,0.75656,yes
brown,colors,0.4,20,0,0,0.0000,0.0000,-0.01127,0.00497,no
butter,foods,0.4,20,0,14,0.0000,0.7000,-0.00302,0.69018,no
camel,animals,0.4,20,0,0,0.0000,0.0000,0.00385,0.01036,no
cheese,foods,0.4,20,0,3,0.0000,0.1500,-0.00703,0.15312,no
chocolate,foods,0.4,20,20,20,1.0000,1.0000,0.99516,1.00580,yes
crimson,colors,0.4,20,0,0,0.0000,0.0000,0.00533,-0.00675,no
despair,emotions,0.4,20,0,0,0.0000,0.0000,0.00792,0.00378,no
disgust,emotions,0.4,20,0,3,0.0000,0.1500,0.00439,0.15768,no
dread,emotions,0.4,20,0,0,0.0000,0.0000,-0.00171,0.00621,no
eagle,animals,0.4,20,0,0,0.0000,0.0000,0.00908,-0.00954,no
elephant,animals,0.4,20,0,6,0.0000,0.3000,0.00839,0.29745,no
envy,emotions,0.4,20,0,0,0.0000,0.0000,-0.00049,-0.00849,no
frog,animals,0.4,20,0,1,0.0000,0.0500,0.00476,0.04501,no
garlic,foods,0.4,20,0,14,0.0000,0.7000,0.00891,0.69461,no
grey,colors,0.4,20,0,0,0.0000,0.0000,0.00148,-0.00241,no
grief,emotions,0.4,20,0,5,0.0000,0.2500,0.00271,0.24272,no
guilt,emotions,0.4,20,0,10,0.0000,0.5000,-0.00767,0.50592,yes
honey,foods,0.4,20,0,7,0.0000,0.3500,0.00605,0.35161,no
mango,foods,0.4,20,20,0,1.0000,0.0000,1.01011,-0.00706,no
navy,colors,0.4,20,17,0,0.8500,0.0000,0.85842,-0.00794,yes
noodles,foods,0.4,20,0,4,0.0000,0.2000,0.01114,0.20297,no
owl,animals,0.4,20,0,0,0.0000,0.0000,0.00257,0.01129,no
pasta,foods,0.4,20,0,7,0.0000,0.3500,0.00689,0.35696,no
pink,colors,0.4,20,0,0,0.0000,0.0000,-0.01070,-0.00314,no
purple,colors,0.4,20,20,0,1.0000,0.0000,0.99004,-0.00736,yes
rabbit,animals,0.4,20,0,2,0.0000,0.1000,-0.00687,0.10861,no
sadness,emotions,0.4,20,0,1,0.0000,0.0500,-0.00896,0.04512,no
shame,emotions,0.4,20,0,0,0.0000,0.0000,-0.00017,0.00839,no
snake,animals,0.4,20,15,8,0.7500,0.4000,0.76117,0.40500,no
soup,foods,0.4,20,0,1,0.0000,0.0500,-0.00687,0.05108,no
spider,animals,0.4,20,11,17,0.5500,0.8500,0.55494,0.83925,yes
teal,colors,0.4,20,0,0,0.0000,0.0000,0.00432,-0.00316,no
tiger,animals,0.4,20,0,0,0.0000,0.0000,0.00215,0.00407,no
violet,colors,0.4,20,0,0,0.0000,0.0000,0.00406,0.00055,no
whale,animals,0.4,20,20,17,1.0000,0.8500,1.00131,0.84276,yes
yellow,colors,0.4,20,16,0,0.8000,0.0000,0.79988,-0.00899,no
