layer,category,median_lens_rank,n_trials,gamma
0,countries,76707.0,50,0.4
1,countries,108458.5,50,0.4
2,countries,128873.0,50,0.4
3,countries,91074.0,50,0.4
4,countries,146002.0,50,0.4
5,countries,146045.0,50,0.4
6,countries,146113.0,50,0.4
7,countries,147020.0,50,0.4
8,countries,145350.0,50,0.4
9,countries,144067.0,50,0.4
10,countries,146216.0,50,0.4
11,countries,148356.5,50,0.4
12,countries,336.5,50,0.4
13,countries,215.5,50,0.4
14,countries,202.5,50,0.4
15,countries,147.0,50,0.4
16,countries,57.5,50,0.4
17,countries,33.0,50,0.4
18,countries,13.5,50,0.4
19,countries,7.0,50,0.4
20,countries,6.5,50,0.4
21,countries,4.5,50,0.4
22,countries,6.0,50,0.4
23,countries,13.0,50,0.4
24,countries,91.0,50,0.4
25,countries,99.5,50,0.4
26,countries,112.5,50,0.4
27,countries,176.5,50,0.4
28,countries,319.0,50,0.4
29,countries,203.5,50,0.4
30,countries,230.5,50,0.4
31,countries,235.0,50,0.4
32,countries,323.0,50,0.4
33,countries,258.5,50,0.4
34,countries,159.0,50,0.4
0,animals,107105.0,50,0.4
1,animals,140569.0,50,0.4
2,animals,146262.5,50,0.4
3,animals,142902.0,50,0.4
4,animals,146157.0,50,0.4
5,animals,147133.0,50,0.4
6,animals,145432.0,50,0.4
7,animals,143902.5,50,0.4
8,animals,140446.0,50,0.4
9,animals,127195.5,50,0.4
10,animals,124666.5,50,0.4
11,animals,138664.0,50,0.4
12,animals,1916.5,50,0.4
13,animals,1311.5,50,0.4
14,animals,1012.5,50,0.4
15,animals,557.0,50,0.4
16,animals,246.5,50,0.4
17,animals,151.5,50,0.4
18,animals,94.5,50,0.4
19,animals,116.5,50,0.4
20,animals,160.0,50,0.4
21,animals,107.5,50,0.4
22,animals,97.5,50,0.4
23,animals,229.0,50,0.4
24,animals,250.5,50,0.4
25,animals,396.5,50,0.4
26,animals,499.5,50,0.4
27,animals,932.0,50,0.4
28,animals,1194.0,50,0.4
29,animals,1020.0,50,0.4
30,animals,819.5,50,0.4
31,animals,752.5,50,0.4
32,animals,1400.5,50,0.4
33,animals,1470.0,50,0.4
34,animals,2132.0,50,0.4
0,foods,129379.0,50,0.4
1,foods,144819.5,50,0.4
2,foods,144334.0,50,0.4
3,foods,142768.0,50,0.4
4,foods,147766.5,50,0.4
5,foods,149270.0,50,0.4
6,foods,147764.0,50,0.4
7,foods,144245.5,50,0.4
8,foods,146884.5,50,0.4
9,foods,141293.5,50,0.4
10,foods,143484.0,50,0.4
11,foods,148208.0,50,0.4
12,foods,3392.5,50,0.4
13,foods,2054.0,50,0.4
14,foods,1554.5,50,0.4
15,foods,1122.5,50,0.4
16,foods,502.5,50,0.4
17,foods,267.0,50,0.4
18,foods,142.0,50,0.4
19,foods,100.0,50,0.4
20,foods,136.0,50,0.4
21,foods,99.0,50,0.4
22,foods,53.5,50,0.4
23,foods,193.5,50,0.4
24,foods,318.0,50,0.4
25,foods,478.0,50,0.4
26,foods,497.5,50,0.4
27,foods,680.5,50,0.4
28,foods,1001.0,50,0.4
29,foods,723.5,50,0.4
30,foods,607.0,50,0.4
31,foods,570.0,50,0.4
32,foods,785.0,50,0.4
33,foods,795.5,50,0.4
34,foods,787.5,50,0.4
0,colors,112772.5,50,0.4
1,colors,141411.0,50,0.4
2,colors,148551.5,50,0.4
3,colors,138765.0,50,0.4
4,colors,145116.5,50,0.4
5,colors,149184.5,50,0.4
6,colors,147323.0,50,0.4
7,colors,146157.0,50,0.4
8,colors,143735.0,50,0.4
9,colors,133503.5,50,0.4
10,colors,137605.0,50,0.4
11,colors,142007.0,50,0.4
12,colors,1984.0,50,0.4
13,colors,1623.0,50,0.4
14,colors,1213.0,50,0.4
15,colors,906.5,50,0.4
16,colors,528.5,50,0.4
17,colors,303.5,50,0.4
18,colors,168.5,50,0.4
19,colors,112.5,50,0.4
20,colors,125.0,50,0.4
21,colors,72.0,50,0.4
22,colors,55.5,50,0.4
23,colors,113.5,50,0.4
24,colors,201.0,50,0.4
25,colors,358.0,50,0.4
26,colors,584.0,50,0.4
27,colors,759.0,50,0.4
28,colors,835.0,50,0.4
29,colors,849.0,50,0.4
30,colors,764.0,50,0.4
31,colors,741.0,50,0.4
32,colors,956.5,50,0.4
33,colors,1266.5,50,0.4
34,colors,1131.5,50,0.4
0,emotions,80884.0,50,0.4
1,emotions,118677.0,50,0.4
2,emotions,127996.0,50,0.4
3,emotions,103298.0,50,0.4
4,emotions,135207.5,50,0.4
5,emotions,132613.5,50,0.4
6,emotions,126476.0,50,0.4
7,emotions,122510.0,50,0.4
8,emotions,121146.0,50,0.4
9,emotions,107365.5,50,0.4
10,emotions,114750.5,50,0.4
11,emotions,120870.0,50,0.4
12,emotions,7004.5,50,0.4
13,emotions,5203.0,50,0.4
14,emotions,4021.5,50,0.4
15,emotions,3433.5,50,0.4
16,emotions,1683.0,50,0.4
17,emotions,940.0,50,0.4
18,emotions,367.0,50,0.4
19,emotions,255.5,50,0.4
20,emotions,348.5,50,0.4
21,emotions,213.5,50,0.4
22,emotions,152.0,50,0.4
23,emotions,202.0,50,0.4
24,emotions,230.0,50,0.4
25,emotions,358.5,50,0.4
26,emotions,430.5,50,0.4
27,emotions,864.5,50,0.4
28,emotions,997.0,50,0.4
29,emotions,1125.5,50,0.4
30,emotions,979.5,50,0.4
31,emotions,718.0,50,0.4
32,emotions,1099.0,50,0.4
33,emotions,1544.0,50,0.4
34,emotions,1376.5,50,0.4
