concept,category,gamma,n_passages,median_lens_rank_L22,plotted_x_rank_plus_1,n_named,frac_named,labeled,fit_slope_per_log10,fit_intercept,fit_pearson_r,fit_x_range
Brazil,countries,0.4,20,7.0,8.0,0,0.0000,yes,-0.200355,0.320047,-0.5960,"[1, 47]"
Canada,countries,0.4,20,3.0,4.0,1,0.0500,yes,-0.200355,0.320047,-0.5960,"[1, 47]"
Chile,countries,0.4,20,46.0,47.0,0,0.0000,no,-0.200355,0.320047,-0.5960,"[1, 47]"
Egypt,countries,0.4,20,10.0,11.0,8,0.4000,no,-0.200355,0.320047,-0.5960,"[1, 47]"
France,countries,0.4,20,0.0,1.0,6,0.3000,yes,-0.200355,0.320047,-0.5960,"[1, 47]"
Germany,countries,0.4,20,2.5,3.5,4,0.2000,no,-0.200355,0.320047,-0.5960,"[1, 47]"
Japan,countries,0.4,20,1.0,2.0,9,0.4500,no,-0.200355,0.320047,-0.5960,"[1, 47]"
Nepal,countries,0.4,20,33.0,34.0,0,0.0000,no,-0.200355,0.320047,-0.5960,"[1, 47]"
Norway,countries,0.4,20,12.0,13.0,1,0.0500,no,-0.200355,0.320047,-0.5960,"[1, 47]"
Poland,countries,0.4,20,5.0,6.0,1,0.0500,no,-0.200355,0.320047,-0.5960,"[1, 47]"
anger,emotions,0.4,20,306.0,307.0,11,0.5500,no,-0.121041,0.529222,-0.1844,"[53.5, 2600]"
beige,colors,0.4,20,614.0,615.0,0,0.0000,no,-0.000000,0.000000,nan,"[19, 615]"
boredom,emotions,0.4,20,101.0,102.0,20,1.0000,yes,-0.121041,0.529222,-0.1844,"[53.5, 2600]"
bread,foods,0.4,20,71.0,72.0,15,0.7500,no,0.120285,0.219528,0.1270,"[12, 147.5]"
brown,colors,0.4,20,181.0,182.0,0,0.0000,no,-0.000000,0.000000,nan,"[19, 615]"
butter,foods,0.4,20,112.0,113.0,14,0.7000,no,0.120285,0.219528,0.1270,"[12, 147.5]"
camel,animals,0.4,20,87.5,88.5,0,0.0000,no,-0.625110,1.451277,-0.8018,"[22, 255.5]"
cheese,foods,0.4,20,44.0,45.0,3,0.1500,no,0.120285,0.219528,0.1270,"[12, 147.5]"
chocolate,foods,0.4,20,11.0,12.0,20,1.0000,yes,0.120285,0.219528,0.1270,"[12, 147.5]"
crimson,colors,0.4,20,33.0,34.0,0,0.0000,no,-0.000000,0.000000,nan,"[19, 615]"
despair,emotions,0.4,20,141.0,142.0,0,0.0000,no,-0.121041,0.529222,-0.1844,"[53.5, 2600]"
disgust,emotions,0.4,20,59.0,60.0,3,0.1500,no,-0.121041,0.529222,-0.1844,"[53.5, 2600]"
dread,emotions,0.4,20,654.0,655.0,0,0.0000,no,-0.121041,0.529222,-0.1844,"[53.5, 2600]"
eagle,animals,0.4,20,254.5,255.5,0,0.0000,no,-0.625110,1.451277,-0.8018,"[22, 255.5]"
elephant,animals,0.4,20,112.0,113.0,6,0.3000,no,-0.625110,1.451277,-0.8018,"[22, 255.5]"
envy,emotions,0.4,20,2599.0,2600.0,0,0.0000,no,-0.121041,0.529222,-0.1844,"[53.5, 2600]"
frog,animals,0.4,20,239.5,240.5,1,0.0500,no,-0.625110,1.451277,-0.8018,"[22, 255.5]"
garlic,foods,0.4,20,146.5,147.5,14,0.7000,no,0.120285,0.219528,0.1270,"[12, 147.5]"
grey,colors,0.4,20,65.0,66.0,0,0.0000,no,-0.000000,0.000000,nan,"[19, 615]"
grief,emotions,0.4,20,258.5,259.5,5,0.2500,no,-0.121041,0.529222,-0.1844,"[53.5, 2600]"
guilt,emotions,0.4,20,185.5,186.5,10,0.5000,yes,-0.121041,0.529222,-0.1844,"[53.5, 2600]"
honey,foods,0.4,20,118.5,119.5,7,0.3500,no,0.120285,0.219528,0.1270,"[12, 147.5]"
mango,foods,0.4,20,15.5,16.5,0,0.0000,no,0.120285,0.219528,0.1270,"[12, 147.5]"
navy,colors,0.4,20,19.0,20.0,0,0.0000,yes,-0.000000,0.000000,nan,"[19, 615]"
noodles,foods,0.4,20,62.0,63.0,4,0.2000,no,0.120285,0.219528,0.1270,"[12, 147.5]"
owl,animals,0.4,20,243.0,244.0,0,0.0000,no,-0.625110,1.451277,-0.8018,"[22, 255.5]"
pasta,foods,0.4,20,38.5,39.5,7,0.3500,no,0.120285,0.219528,0.1270,"[12, 147.5]"
pink,colors,0.4,20,54.0,55.0,0,0.0000,no,-0.000000,0.000000,nan,"[19, 615]"
purple,colors,0.4,20,18.0,19.0,0,0.0000,yes,-0.000000,0.000000,nan,"[19, 615]"
rabbit,animals,0.4,20,40.5,41.5,2,0.1000,no,-0.625110,1.451277,-0.8018,"[22, 255.5]"
sadness,emotions,0.4,20,98.5,99.5,1,0.0500,no,-0.121041,0.529222,-0.1844,"[53.5, 2600]"
shame,emotions,0.4,20,52.5,53.5,0,0.0000,no,-0.121041,0.529222,-0.1844,"[53.5, 2600]"
snake,animals,0.4,20,23.0,24.0,8,0.4000,no,-0.625110,1.451277,-0.8018,"[22, 255.5]"
soup,foods,0.4,20,37.0,38.0,1,0.0500,no,0.120285,0.219528,0.1270,"[12, 147.5]"
spider,animals,0.4,20,25.0,26.0,17,0.8500,yes,-0.625110,1.451277,-0.8018,"[22, 255.5]"
teal,colors,0.4,20,90.5,91.5,0,0.0000,no,-0.000000,0.000000,nan,"[19, 615]"
tiger,animals,0.4,20,159.5,160.5,0,0.0000,no,-0.625110,1.451277,-0.8018,"[22, 255.5]"
violet,colors,0.4,20,186.0,187.0,0,0.0000,no,-0.000000,0.000000,nan,"[19, 615]"
whale,animals,0.4,20,21.0,22.0,17,0.8500,yes,-0.625110,1.451277,-0.8018,"[22, 255.5]"
yellow,colors,0.4,20,20.5,21.5,0,0.0000,no,-0.000000,0.000000,nan,"[19, 615]"
