bin_lo,bin_hi,count_concept,count_random,mean_concept,mean_random,gamma
0.00,0.05,0,435,0.832966,0.380775,0.4
0.05,0.10,0,53,0.832966,0.380775,0.4
0.10,0.15,0,34,0.832966,0.380775,0.4
0.15,0.20,0,16,0.832966,0.380775,0.4
0.20,0.25,0,15,0.832966,0.380775,0.4
0.25,0.30,0,12,0.832966,0.380775,0.4
0.30,0.35,0,9,0.832966,0.380775,0.4
0.35,0.40,0,12,0.832966,0.380775,0.4
0.40,0.45,3,17,0.832966,0.380775,0.4
0.45,0.50,4,2,0.832966,0.380775,0.4
0.50,0.55,12,23,0.832966,0.380775,0.4
0.55,0.60,21,19,0.832966,0.380775,0.4
0.60,0.65,39,12,0.832966,0.380775,0.4
0.65,0.70,45,18,0.832966,0.380775,0.4
0.70,0.75,86,20,0.832966,0.380775,0.4
0.75,0.80,118,19,0.832966,0.380775,0.4
0.80,0.85,128,20,0.832966,0.380775,0.4
0.85,0.90,213,23,0.832966,0.380775,0.4
0.90,0.95,231,41,0.832966,0.380775,0.4
0.95,1.00,100,200,0.832966,0.380775,0.4
