panel,category_or_series,layer,value
a,countries_at_user,0,76707.0
a,countries_at_answer,0,108702.0
a,countries_at_user,1,108458.5
a,countries_at_answer,1,134803.0
a,countries_at_user,2,128873.0
a,countries_at_answer,2,136011.0
a,countries_at_user,3,91074.0
a,countries_at_answer,3,42973.0
a,countries_at_user,4,146002.0
a,countries_at_answer,4,146345.0
a,countries_at_user,5,146045.0
a,countries_at_answer,5,144952.0
a,countries_at_user,6,146113.0
a,countries_at_answer,6,129454.0
a,countries_at_user,7,147020.0
a,countries_at_answer,7,104661.5
a,countries_at_user,8,145350.0
a,countries_at_answer,8,65207.0
a,countries_at_user,9,144067.0
a,countries_at_answer,9,53319.5
a,countries_at_user,10,146216.0
a,countries_at_answer,10,28279.5
a,countries_at_user,11,148356.5
a,countries_at_answer,11,51336.5
a,countries_at_user,12,336.5
a,countries_at_answer,12,24515.5
a,countries_at_user,13,215.5
a,countries_at_answer,13,17401.0
a,countries_at_user,14,203.0
a,countries_at_answer,14,5966.5
a,countries_at_user,15,146.5
a,countries_at_answer,15,10828.0
a,countries_at_user,16,58.0
a,countries_at_answer,16,15682.5
a,countries_at_user,17,32.0
a,countries_at_answer,17,11345.0
a,countries_at_user,18,13.5
a,countries_at_answer,18,6771.5
a,countries_at_user,19,7.0
a,countries_at_answer,19,8174.0
a,countries_at_user,20,7.0
a,countries_at_answer,20,3122.5
a,countries_at_user,21,4.0
a,countries_at_answer,21,22411.0
a,countries_at_user,22,6.0
a,countries_at_answer,22,1608.5
a,countries_at_user,23,13.0
a,countries_at_answer,23,1.5
a,countries_at_user,24,87.5
a,countries_at_answer,24,2.0
a,countries_at_user,25,100.0
a,countries_at_answer,25,1.0
a,countries_at_user,26,113.0
a,countries_at_answer,26,1.0
a,countries_at_user,27,185.0
a,countries_at_answer,27,0.5
a,countries_at_user,28,318.0
a,countries_at_answer,28,1.0
a,countries_at_user,29,211.5
a,countries_at_answer,29,1.0
a,countries_at_user,30,232.5
a,countries_at_answer,30,3.0
a,countries_at_user,31,228.0
a,countries_at_answer,31,2.0
a,countries_at_user,32,316.0
a,countries_at_answer,32,4.0
a,countries_at_user,33,250.5
a,countries_at_answer,33,9.5
a,countries_at_user,34,159.0
a,countries_at_answer,34,7.0
a,animals_at_user,0,107105.0
a,animals_at_answer,0,112228.5
a,animals_at_user,1,140569.0
a,animals_at_answer,1,136665.0
a,animals_at_user,2,146262.5
a,animals_at_answer,2,139629.5
a,animals_at_user,3,142902.0
a,animals_at_answer,3,52844.0
a,animals_at_user,4,146157.0
a,animals_at_answer,4,134013.0
a,animals_at_user,5,147133.0
a,animals_at_answer,5,138687.5
a,animals_at_user,6,145432.0
a,animals_at_answer,6,112744.0
a,animals_at_user,7,143902.5
a,animals_at_answer,7,76886.5
a,animals_at_user,8,140446.0
a,animals_at_answer,8,44611.0
a,animals_at_user,9,127195.5
a,animals_at_answer,9,29126.0
a,animals_at_user,10,124666.5
a,animals_at_answer,10,18934.5
a,animals_at_user,11,138664.0
a,animals_at_answer,11,20042.5
a,animals_at_user,12,1916.5
a,animals_at_answer,12,8159.5
a,animals_at_user,13,1310.5
a,animals_at_answer,13,5359.5
a,animals_at_user,14,1013.0
a,animals_at_answer,14,3215.0
a,animals_at_user,15,557.5
a,animals_at_answer,15,3986.5
a,animals_at_user,16,246.0
a,animals_at_answer,16,1805.0
a,animals_at_user,17,151.5
a,animals_at_answer,17,334.5
a,animals_at_user,18,95.0
a,animals_at_answer,18,1386.0
a,animals_at_user,19,118.0
a,animals_at_answer,19,677.5
a,animals_at_user,20,155.0
a,animals_at_answer,20,563.5
a,animals_at_user,21,107.5
a,animals_at_answer,21,4037.5
a,animals_at_user,22,99.5
a,animals_at_answer,22,882.0
a,animals_at_user,23,230.5
a,animals_at_answer,23,11.0
a,animals_at_user,24,251.0
a,animals_at_answer,24,4.0
a,animals_at_user,25,420.5
a,animals_at_answer,25,4.0
a,animals_at_user,26,496.0
a,animals_at_answer,26,4.0
a,animals_at_user,27,917.5
a,animals_at_answer,27,5.5
a,animals_at_user,28,1183.0
a,animals_at_answer,28,6.0
a,animals_at_user,29,994.5
a,animals_at_answer,29,4.0
a,animals_at_user,30,803.0
a,animals_at_answer,30,4.0
a,animals_at_user,31,770.0
a,animals_at_answer,31,2.0
a,animals_at_user,32,1402.0
a,animals_at_answer,32,1.0
a,animals_at_user,33,1468.0
a,animals_at_answer,33,2.0
a,animals_at_user,34,2189.5
a,animals_at_answer,34,5.0
a,foods_at_user,0,129379.0
a,foods_at_answer,0,112843.0
a,foods_at_user,1,144819.5
a,foods_at_answer,1,141446.5
a,foods_at_user,2,144334.0
a,foods_at_answer,2,117194.5
a,foods_at_user,3,142768.0
a,foods_at_answer,3,55901.0
a,foods_at_user,4,147766.5
a,foods_at_answer,4,140856.5
a,foods_at_user,5,149270.0
a,foods_at_answer,5,138357.0
a,foods_at_user,6,147764.0
a,foods_at_answer,6,119369.0
a,foods_at_user,7,144245.5
a,foods_at_answer,7,71899.0
a,foods_at_user,8,146884.5
a,foods_at_answer,8,34924.5
a,foods_at_user,9,141293.5
a,foods_at_answer,9,24208.5
a,foods_at_user,10,143484.0
a,foods_at_answer,10,18889.0
a,foods_at_user,11,148208.0
a,foods_at_answer,11,20264.0
a,foods_at_user,12,3392.5
a,foods_at_answer,12,14682.0
a,foods_at_user,13,2041.5
a,foods_at_answer,13,10883.5
a,foods_at_user,14,1583.0
a,foods_at_answer,14,5397.5
a,foods_at_user,15,1128.5
a,foods_at_answer,15,11259.5
a,foods_at_user,16,501.5
a,foods_at_answer,16,7353.5
a,foods_at_user,17,268.0
a,foods_at_answer,17,1519.0
a,foods_at_user,18,142.0
a,foods_at_answer,18,1204.0
a,foods_at_user,19,101.0
a,foods_at_answer,19,511.5
a,foods_at_user,20,137.0
a,foods_at_answer,20,679.5
a,foods_at_user,21,100.0
a,foods_at_answer,21,1797.0
a,foods_at_user,22,53.5
a,foods_at_answer,22,578.5
a,foods_at_user,23,192.5
a,foods_at_answer,23,19.0
a,foods_at_user,24,329.0
a,foods_at_answer,24,6.0
a,foods_at_user,25,470.5
a,foods_at_answer,25,2.0
a,foods_at_user,26,518.5
a,foods_at_answer,26,1.0
a,foods_at_user,27,688.0
a,foods_at_answer,27,1.5
a,foods_at_user,28,979.5
a,foods_at_answer,28,1.0
a,foods_at_user,29,744.5
a,foods_at_answer,29,1.0
a,foods_at_user,30,599.5
a,foods_at_answer,30,1.0
a,foods_at_user,31,577.0
a,foods_at_answer,31,1.0
a,foods_at_user,32,782.0
a,foods_at_answer,32,0.5
a,foods_at_user,33,776.5
a,foods_at_answer,33,1.0
a,foods_at_user,34,798.5
a,foods_at_answer,34,1.0
a,colors_at_user,0,112772.5
a,colors_at_answer,0,85870.0
a,colors_at_user,1,141411.0
a,colors_at_answer,1,134970.5
a,colors_at_user,2,148551.5
a,colors_at_answer,2,124991.5
a,colors_at_user,3,138765.0
a,colors_at_answer,3,41249.0
a,colors_at_user,4,145116.5
a,colors_at_answer,4,123932.0
a,colors_at_user,5,149184.5
a,colors_at_answer,5,129329.5
a,colors_at_user,6,147323.0
a,colors_at_answer,6,103975.0
a,colors_at_user,7,146157.0
a,colors_at_answer,7,61538.0
a,colors_at_user,8,143735.0
a,colors_at_answer,8,33493.5
a,colors_at_user,9,133503.5
a,colors_at_answer,9,10087.5
a,colors_at_user,10,137605.0
a,colors_at_answer,10,8590.0
a,colors_at_user,11,142007.0
a,colors_at_answer,11,8598.5
a,colors_at_user,12,1984.0
a,colors_at_answer,12,5737.5
a,colors_at_user,13,1622.5
a,colors_at_answer,13,3696.0
a,colors_at_user,14,1212.0
a,colors_at_answer,14,4519.5
a,colors_at_user,15,906.5
a,colors_at_answer,15,7035.0
a,colors_at_user,16,519.0
a,colors_at_answer,16,6625.0
a,colors_at_user,17,305.0
a,colors_at_answer,17,2684.5
a,colors_at_user,18,166.5
a,colors_at_answer,18,5422.5
a,colors_at_user,19,111.5
a,colors_at_answer,19,2019.5
a,colors_at_user,20,119.5
a,colors_at_answer,20,2197.5
a,colors_at_user,21,71.5
a,colors_at_answer,21,13761.5
a,colors_at_user,22,57.0
a,colors_at_answer,22,1208.0
a,colors_at_user,23,117.5
a,colors_at_answer,23,175.0
a,colors_at_user,24,203.0
a,colors_at_answer,24,84.5
a,colors_at_user,25,363.5
a,colors_at_answer,25,86.5
a,colors_at_user,26,571.0
a,colors_at_answer,26,28.0
a,colors_at_user,27,749.0
a,colors_at_answer,27,22.5
a,colors_at_user,28,815.0
a,colors_at_answer,28,24.0
a,colors_at_user,29,823.5
a,colors_at_answer,29,24.5
a,colors_at_user,30,759.5
a,colors_at_answer,30,23.5
a,colors_at_user,31,732.0
a,colors_at_answer,31,25.0
a,colors_at_user,32,956.0
a,colors_at_answer,32,30.0
a,colors_at_user,33,1283.0
a,colors_at_answer,33,27.0
a,colors_at_user,34,1125.5
a,colors_at_answer,34,44.0
a,emotions_at_user,0,80884.0
a,emotions_at_answer,0,80260.5
a,emotions_at_user,1,118677.0
a,emotions_at_answer,1,116196.0
a,emotions_at_user,2,127996.0
a,emotions_at_answer,2,103404.0
a,emotions_at_user,3,103298.0
a,emotions_at_answer,3,23180.5
a,emotions_at_user,4,135207.5
a,emotions_at_answer,4,106981.0
a,emotions_at_user,5,132613.5
a,emotions_at_answer,5,112489.5
a,emotions_at_user,6,126476.0
a,emotions_at_answer,6,72608.5
a,emotions_at_user,7,122510.0
a,emotions_at_answer,7,49712.5
a,emotions_at_user,8,121146.0
a,emotions_at_answer,8,13010.0
a,emotions_at_user,9,107365.5
a,emotions_at_answer,9,6120.0
a,emotions_at_user,10,114750.5
a,emotions_at_answer,10,6813.0
a,emotions_at_user,11,120870.0
a,emotions_at_answer,11,4743.5
a,emotions_at_user,12,7004.5
a,emotions_at_answer,12,4876.0
a,emotions_at_user,13,5204.5
a,emotions_at_answer,13,4008.5
a,emotions_at_user,14,4022.5
a,emotions_at_answer,14,743.0
a,emotions_at_user,15,3429.5
a,emotions_at_answer,15,1375.5
a,emotions_at_user,16,1681.0
a,emotions_at_answer,16,1712.0
a,emotions_at_user,17,941.0
a,emotions_at_answer,17,296.0
a,emotions_at_user,18,365.5
a,emotions_at_answer,18,431.5
a,emotions_at_user,19,256.5
a,emotions_at_answer,19,263.0
a,emotions_at_user,20,344.5
a,emotions_at_answer,20,412.5
a,emotions_at_user,21,213.0
a,emotions_at_answer,21,570.5
a,emotions_at_user,22,159.0
a,emotions_at_answer,22,68.5
a,emotions_at_user,23,202.0
a,emotions_at_answer,23,19.0
a,emotions_at_user,24,250.0
a,emotions_at_answer,24,4.0
a,emotions_at_user,25,359.0
a,emotions_at_answer,25,4.5
a,emotions_at_user,26,429.5
a,emotions_at_answer,26,3.0
a,emotions_at_user,27,873.5
a,emotions_at_answer,27,1.5
a,emotions_at_user,28,991.5
a,emotions_at_answer,28,1.0
a,emotions_at_user,29,1118.0
a,emotions_at_answer,29,1.0
a,emotions_at_user,30,973.5
a,emotions_at_answer,30,0.5
a,emotions_at_user,31,741.5
a,emotions_at_answer,31,0.5
a,emotions_at_user,32,1097.5
a,emotions_at_answer,32,1.0
a,emotions_at_user,33,1543.0
a,emotions_at_answer,33,2.0
a,emotions_at_user,34,1388.5
a,emotions_at_answer,34,3.5
b,auc_user,0,0.6419
b,auc_answer,0,0.5547
b,auc_user,1,0.6249
b,auc_answer,1,0.5479
b,auc_user,2,0.6363
b,auc_answer,2,0.5942
b,auc_user,3,0.5546
b,auc_answer,3,0.5272
b,auc_user,4,0.5608
b,auc_answer,4,0.5510
b,auc_user,5,0.5955
b,auc_answer,5,0.5644
b,auc_user,6,0.6186
b,auc_answer,6,0.6124
b,auc_user,7,0.6285
b,auc_answer,7,0.6145
b,auc_user,8,0.5581
b,auc_answer,8,0.5986
b,auc_user,9,0.4782
b,auc_answer,9,0.5463
b,auc_user,10,0.4865
b,auc_answer,10,0.5647
b,auc_user,11,0.4722
b,auc_answer,11,0.5422
b,auc_user,12,0.5281
b,auc_answer,12,0.5675
b,auc_user,13,0.5411
b,auc_answer,13,0.5533
b,auc_user,14,0.5481
b,auc_answer,14,0.6099
b,auc_user,15,0.5486
b,auc_answer,15,0.6105
b,auc_user,16,0.5600
b,auc_answer,16,0.6514
b,auc_user,17,0.5454
b,auc_answer,17,0.6239
b,auc_user,18,0.5307
b,auc_answer,18,0.6089
b,auc_user,19,0.5539
b,auc_answer,19,0.6028
b,auc_user,20,0.5558
b,auc_answer,20,0.6677
b,auc_user,21,0.5567
b,auc_answer,21,0.6278
b,auc_user,22,0.5956
b,auc_answer,22,0.6444
b,auc_user,23,0.5526
b,auc_answer,23,0.7345
b,auc_user,24,0.6126
b,auc_answer,24,0.7762
b,auc_user,25,0.6358
b,auc_answer,25,0.8067
b,auc_user,26,0.6647
b,auc_answer,26,0.7828
b,auc_user,27,0.6230
b,auc_answer,27,0.7716
b,auc_user,28,0.6470
b,auc_answer,28,0.8112
b,auc_user,29,0.6453
b,auc_answer,29,0.8250
b,auc_user,30,0.6825
b,auc_answer,30,0.8258
b,auc_user,31,0.7101
b,auc_answer,31,0.8406
b,auc_user,32,0.7357
b,auc_answer,32,0.8488
b,auc_user,33,0.7173
b,auc_answer,33,0.8554
b,auc_user,34,0.6934
b,auc_answer,34,0.9182
c,countries_user_L22,,0.8600
c,countries_answer_anyL,,1.0000
c,countries_named,,0.2600
c,animals_user_L22,,0.2800
c,animals_answer_anyL,,0.9800
c,animals_named,,0.2200
c,foods_user_L22,,0.2000
c,foods_answer_anyL,,1.0000
c,foods_named,,0.3600
