panel,series,layer_or_category,value
a,answer,12,0.0000
a,answer,14,0.0000
a,answer,16,0.0000
a,answer,18,0.0000
a,answer,20,0.0000
a,answer,22,0.0000
a,answer,23,0.0000
a,answer,24,0.0000
a,answer,25,0.0270
a,answer,26,0.0901
a,answer,28,0.1892
a,answer,30,0.4595
a,answer,32,0.5856
a,answer,34,0.8468
a,summary,12,0.0000
a,summary,14,0.0000
a,summary,16,0.0000
a,summary,18,0.0000
a,summary,20,0.0000
a,summary,22,0.0000
a,summary,23,0.0000
a,summary,24,0.0000
a,summary,25,0.0000
a,summary,26,0.0000
a,summary,28,0.0000
a,summary,30,0.0000
a,summary,32,0.0000
a,summary,34,0.0000
a,block,12,0.0000
a,block,14,0.0000
a,block,16,0.0000
a,block,18,0.0000
a,block,20,0.0000
a,block,22,0.0000
a,block,23,0.0000
a,block,24,0.0541
a,block,25,0.1171
a,block,26,0.2523
a,block,28,0.3784
a,block,30,0.5586
a,block,32,0.7027
a,block,34,0.9640
a,median_rank_answer,12,5781.0
a,median_rank_answer,14,5466.0
a,median_rank_answer,16,5398.0
a,median_rank_answer,18,4779.0
a,median_rank_answer,20,5206.0
a,median_rank_answer,22,1458.0
a,median_rank_answer,23,464.0
a,median_rank_answer,24,98.0
a,median_rank_answer,25,60.0
a,median_rank_answer,26,27.0
a,median_rank_answer,28,10.0
a,median_rank_answer,30,5.0
a,median_rank_answer,32,4.0
a,median_rank_answer,34,2.0
b,ablate_answer,16,0.1171
b,ablate_answer,20,0.1982
b,ablate_answer,22,0.4865
b,ablate_answer,23,0.9369
b,ablate_answer,24,1.0000
b,ablate_answer,25,1.0000
b,ablate_answer,26,1.0000
b,ablate_answer,28,1.0000
b,ablate_answer,30,1.0000
b,ablate_answer,32,1.0000
b,ablate_user_span,16,1.0000
b,ablate_user_span,20,1.0000
b,ablate_user_span,22,1.0000
b,ablate_user_span,23,1.0000
b,ablate_user_span,24,0.9459
b,ablate_user_span,25,0.8829
b,ablate_user_span,26,0.7477
b,ablate_user_span,28,0.6216
b,ablate_user_span,30,0.4414
b,ablate_user_span,32,0.2973
c,user_span_kill_L28,countries,0.8421
c,answer_suff_L28,countries,0.0000
c,user_span_kill_L28,animals,0.6667
c,answer_suff_L28,animals,0.1667
c,user_span_kill_L28,foods,0.6905
c,answer_suff_L28,foods,0.1190
c,user_span_kill_L28,colors,0.0000
c,answer_suff_L28,colors,0.0000
c,user_span_kill_L28,emotions,0.3077
c,answer_suff_L28,emotions,0.4615
